ablation,accuracy,aggregation,aggregation_used_final_round,attack,average_benign_trust,average_malicious_trust,benign_client_rejection_rate,benign_updates_rejected,client_loss_variance,convergence_round_f1_0_80,data_mode,detection_f1,detection_precision,detection_recall,distillation,distillation_applied_runs,distillation_rollbacks,distillation_runs,f1,false_negatives,false_positives,feature_skew_strength,malicious_client_detection_rate,mean_client_majority_distance,mean_distillation_duration_ms,mean_pairwise_update_cosine,non_iid_alpha,poison_updates_rejected,precision,recall,seed,study,training_rounds,true_negatives,true_positives,update_norm_dispersion,update_norm_mean
,0.43,FedAvg,FedAvg,none,,,0.0,0,0.0023727074152041488,3,strong_non_iid,0.0,0.0,0.0,False,0,0,0,0.0,0,0,0.85,0.0,0.1514668204753407,0.0,0.0833273307536934,0.2,0,0.0,0.0,42,matrix,4,20,0,0.33811252079164483,0.17076360149260866
,0.43,FedAvg,FedAvg,none,,,0.0,0,0.0023727074152041488,3,strong_non_iid,0.0,0.0,0.0,True,0,4,4,0.0,0,0,0.85,0.0,0.1514668204753407,10.256499999999999,0.0833273307536934,0.2,0,0.0,0.0,42,matrix,4,20,0,0.33811252079164483,0.17076360149260866
,0.43,TrustWeightedFedAvg,trust_weighted_fedavg,none,0.9171189999999999,,0.0,0,0.002432931938086175,3,strong_non_iid,0.0,0.0,0.0,False,0,0,0,0.0,0,0,0.85,0.0,0.15143745761803604,0.0,0.08343349902339181,0.2,0,0.0,0.0,42,matrix,4,20,0,0.3378958146254076,0.17074131057583705
,0.43,TrustWeightedFedAvg,trust_weighted_fedavg,none,0.9171189999999999,,0.0,0,0.002432931938086175,3,strong_non_iid,0.0,0.0,0.0,True,0,4,4,0.0,0,0,0.85,0.0,0.15143745761803604,9.672999999999998,0.08343349902339181,0.2,0,0.0,0.0,42,matrix,4,20,0,0.3378958146254076,0.17074131057583705
,0.43,FedAvg,FedAvg,poison,,,0.0,0,0.09138859645507198,,strong_non_iid,0.0,0.0,0.0,False,0,0,0,0.0,4,0,0.85,0.0,0.8795284788319304,0.0,0.11215439369907894,0.2,0,0.0,0.0,42,matrix,4,16,0,1.6167910093955098,0.9027606486649332
,0.43,FedAvg,FedAvg,poison,,,0.0,0,0.12546618977750904,,strong_non_iid,0.0,0.0,0.0,True,4,0,4,0.0,4,0,0.85,0.0,0.9549920194888517,9.55525,0.12634527093978215,0.2,0,0.0,0.0,42,matrix,4,16,0,1.6170282320315557,0.9825109134496144
,0.43,TrustWeightedFedAvg,trust_weighted_fedavg,poison,0.8962302500000001,0.19208,0.0,0,0.00506239364410042,,strong_non_iid,1.0,1.0,1.0,False,0,0,0,0.0,0,0,0.85,1.0,0.7284032938773265,0.0,0.1640002186009852,0.2,4,0.0,0.0,42,matrix,4,16,4,1.5766064248266292,0.757313658264154
,0.43,TrustWeightedFedAvg,trust_weighted_fedavg,poison,0.8962302500000001,0.19208,0.0,0,0.00506239364410042,,strong_non_iid,1.0,1.0,1.0,True,0,4,4,0.0,0,0,0.85,1.0,0.7284032938773265,9.83025,0.1640002186009852,0.2,4,0.0,0.0,42,matrix,4,16,4,1.5766064248266292,0.757313658264154
,0.5025,FedAvg,FedAvg,none,,,0.0,0,3.769107370948623e-06,1,iid,0.0,0.0,0.0,False,0,0,0,0.6688851913477537,0,0,0.0,0.0,0.016578838957665282,0.0,0.9460777994931056,,0,0.5025,1.0,99,matrix,4,20,0,0.016624577137756794,0.08613422118361791
,0.5025,FedAvg,FedAvg,none,,,0.0,0,3.769107370948623e-06,1,iid,0.0,0.0,0.0,True,0,4,4,0.6688851913477537,0,0,0.0,0.0,0.016578838957665282,9.44975,0.9460777994931056,,0,0.5025,1.0,99,matrix,4,20,0,0.016624577137756794,0.08613422118361791
,0.5025,TrustWeightedFedAvg,trust_weighted_fedavg,none,0.8834202,,0.0,0,4.0078613799069105e-06,1,iid,0.0,0.0,0.0,False,0,0,0,0.6688851913477537,0,1,0.0,0.0,0.016579374251423033,0.0,0.9460742315539796,,0,0.5025,1.0,99,matrix,4,19,0,0.01644163465677563,0.08614153160154542
,0.5025,TrustWeightedFedAvg,trust_weighted_fedavg,none,0.8834202,,0.0,0,4.0078613799069105e-06,1,iid,0.0,0.0,0.0,True,0,4,4,0.6688851913477537,0,1,0.0,0.0,0.016579374251423033,9.80925,0.9460742315539796,,0,0.5025,1.0,99,matrix,4,19,0,0.01644163465677563,0.08614153160154542
,0.4975,FedAvg,FedAvg,poison,,,0.0,0,9.454512719331253e-06,,iid,0.0,0.0,0.0,False,0,0,0,0.0,4,0,0.0,0.0,0.3961411324162905,0.0,0.18959243612275697,,0,0.0,0.0,99,matrix,4,16,0,1.4726072767772216,0.4542606752472652
,0.4975,FedAvg,FedAvg,poison,,,0.0,0,9.454512719331253e-06,,iid,0.0,0.0,0.0,True,0,4,4,0.0,4,0,0.0,0.0,0.3961411324162905,9.488999999999999,0.18959243612275697,,0,0.0,0.0,99,matrix,4,16,0,1.4726072767772216,0.4542606752472652
,0.5025,TrustWeightedFedAvg,trust_weighted_fedavg,poison,0.8776455000000001,0.19208,0.0,0,4.161259432117187e-06,1,iid,0.888888888888889,0.8,1.0,False,0,0,0,0.6688851913477537,0,1,0.0,1.0,0.29004864314303264,0.0,0.18307750490053065,,4,0.5025,1.0,99,matrix,4,15,4,1.4756529699657164,0.3283088039087309
,0.5025,TrustWeightedFedAvg,trust_weighted_fedavg,poison,0.8776455000000001,0.19208,0.0,0,4.161259432117187e-06,1,iid,0.888888888888889,0.8,1.0,True,0,4,4,0.6688851913477537,0,1,0.0,1.0,0.29004864314303264,8.2865,0.18307750490053065,,4,0.5025,1.0,99,matrix,4,15,4,1.4756529699657164,0.3283088039087309
,0.5025,FedAvg,FedAvg,none,,,0.0,0,0.00011595930039767666,,mild_non_iid,0.0,0.0,0.0,False,0,0,0,0.6688851913477537,0,0,0.35,0.0,0.07625093947421,0.0,0.4391290118472078,2.0,0,0.5025,1.0,99,matrix,4,20,0,0.22942476578578813,0.10657642776087772
,0.5025,FedAvg,FedAvg,none,,,0.0,0,0.00011595930039767666,,mild_non_iid,0.0,0.0,0.0,True,0,4,4,0.6688851913477537,0,0,0.35,0.0,0.07625093947421,9.299,0.4391290118472078,2.0,0,0.5025,1.0,99,matrix,4,20,0,0.22942476578578813,0.10657642776087772
,0.5025,TrustWeightedFedAvg,trust_weighted_fedavg,none,0.9005366,,0.0,0,0.00011279475600730395,,mild_non_iid,0.0,0.0,0.0,False,0,0,0,0.6688851913477537,0,0,0.35,0.0,0.07624647741304648,0.0,0.438988566813458,2.0,0,0.5025,1.0,99,matrix,4,20,0,0.22946380581453102,0.10655011986526369
,0.5025,TrustWeightedFedAvg,trust_weighted_fedavg,none,0.9005366,,0.0,0,0.00011279475600730395,,mild_non_iid,0.0,0.0,0.0,True,0,4,4,0.6688851913477537,0,0,0.35,0.0,0.07624647741304648,9.14375,0.438988566813458,2.0,0,0.5025,1.0,99,matrix,4,20,0,0.22946380581453102,0.10655011986526369
,0.4975,FedAvg,FedAvg,poison,,,0.0,0,0.002508284805920979,,mild_non_iid,0.0,0.0,0.0,False,0,0,0,0.0,4,0,0.35,0.0,0.4301131208350161,0.0,0.1101943173230546,2.0,0,0.0,0.0,99,matrix,4,16,0,1.4793662602422366,0.45186313642764125
